respondent_id,persona_type,straight_liner_flag,inconsistent_response_flag,outlier_flag,social_desirability_flag,persona_leakage_flag,age_group,gender,city,education,occupation,income_band,income_midpoint,creative_identity_score,ci_creative_person,ci_making_things,ci_express_emotions,ci_follow_creators,ci_feel_dull,ai_comfort,art_interest_level,disc_instagram_youtube_re,disc_friend_family_recomm,disc_google_search,disc_whatsapp_forwards,disc_mall_in-person,disc_influencer_blogger,disc_zomato_magicpin,disc_employer_college_boa,act_painting,act_digital_art,act_gaming,act_yoga,act_photography,act_music,act_reading,act_diy,exp_art_workshop,exp_gaming_zone,exp_escape_room,exp_pottery,exp_cooking_class,exp_wellness,exp_museum,current_creative_spend_band,current_creative_spend_mid,leisure_spend_band,leisure_spend_mid,mall_visit_frequency,social_group,style_mandala,style_madhubani,style_warli,style_watercolour,style_portrait,style_abstract,style_anime,style_calligraphy,prod_ai_coaching,prod_art_kit,prod_tablet_session,prod_print_on_demand,prod_skill_tracker,prod_mood_prompts,prod_kids_session,prod_corporate,prod_membership,prod_wellness_therapy,mot_stress_relief,mot_skill_learning,mot_social,mot_social_media,mot_child_dev,mot_novelty,mot_career,eng_gamified,eng_leaderboard,eng_kit,eng_print,eng_portfolio,eng_themed,conjoint_choice,visit_freq_intent,pricing_preference,kit_wtp_band,kit_wtp_mid,discount_preference,preferred_location,session_time_pref,session_duration_pref,gifting_birthday,gifting_diwali,gifting_child,gifting_corporate,gifting_maybe,gifting_no,language_preference,barrier_price,barrier_identity,barrier_skill,barrier_embarrass,barrier_location,barrier_time,barrier_family,barrier_diy,barrier_none,child_extracurr_spend_band,child_extracurr_spend_mid,annual_spend_band,annual_spend_midpoint,nps_score,visit_intent_5class,visit_intent_binary
R0011,P1_Urban_Millennial_Creative,0,0,0,0,0,25-34,Female,Metro-Delhi NCR,Postgraduate,Salaried Professional,50K-1L,75000.0,24,5,5,5,4,5,Daily user-love it,Semi-professional,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,,2250.0,Above 6000,7500.0,Once a month,Children/Family,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,Option A-Art Pod Session,Once a month,Monthly membership,Above 1500,2000.0,Corporate tie-up,Co-working Space,Weekend Morning,60 min standard,1,0,1,0,0,0,Kannada,1,0,0,0,1,0,0,0,0,,,6K-12K,9000,7,Likely to visit,1
R0012,P7_Disinterested,0,0,0,0,0,25-34,Male,Tier 2 City,Doctoral,Salaried Professional,Below 25K,15000.0,7,1,1,2,2,1,Daily user-love it,No interest,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Below 500,250.0,1500-3000,2250.0,Once a month,Alone,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,Option B-Escape Room,Once/twice a year,Pay-per-session,Would not buy,,Bring-a-friend 2-for-1,Gym/Wellness Centre,Weekend Morning,60 min standard,1,0,0,0,0,0,Hindi,1,1,0,0,0,1,0,0,0,,,Below 1K,500,7,Unlikely to visit,0
R0013,P5_Wellness_Seeker,0,0,0,0,0,45-55,Female,Tier 2 City,Graduate,Business/Freelancer,25K-50K,37500.0,16,4,4,2,3,3,Curious-not tried,Occasional hobbyist,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,1500-3000,2250.0,3000-6000,4500.0,Once a month,Partner/Spouse,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,Option C-Movie,Once a month,Pay-per-session,Up to 299,150.0,First session free,Gym/Wellness Centre,Weekend Morning,60 min standard,1,1,1,0,0,0,English,1,0,0,0,0,1,0,0,1,,,6K-12K,9000,3,Likely to visit,1
R0014,P1_Urban_Millennial_Creative,0,0,0,0,0,25-34,Female,Metro-Hyd/Pune/Chennai,Graduate,Salaried Professional,50K-1L,75000.0,23,5,5,4,5,4,Daily user-love it,Semi-professional,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1500-3000,2250.0,3000-6000,4500.0,Once a week,Children/Family,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,Option A-Art Pod Session,2-3 times/month,Monthly membership,1000-1499,1250.0,Corporate tie-up,Co-working Space,Weekday Morning,60 min standard,0,1,1,0,0,0,English,0,0,0,0,0,0,0,0,0,,,3K-6K,4500,8,Definitely will visit,1
R0015,P1_Urban_Millennial_Creative,0,0,0,0,0,35-44,Female,Tier 2 City,Postgraduate,Salaried Professional,1L-2L,150000.0,23,5,4,5,5,4,Daily user-love it,Semi-professional,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1500-3000,2250.0,1500-3000,2250.0,2-3 times/month,Partner/Spouse,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,Option A-Art Pod Session,Once a month,Corporate/group,,450.0,Corporate tie-up,Co-working Space,Weekend Afternoon,90 min deep-dive,1,1,0,1,1,0,Hindi,0,0,0,0,1,0,0,0,1,,,12K-24K,18000,10,Unlikely to visit,0
R0016,P1_Urban_Millennial_Creative,0,0,0,0,0,25-34,Female,Tier 3 City/Town,Postgraduate,Salaried Professional,1L-2L,150000.0,23,4,4,5,5,5,Occasional-prefer human,Semi-professional,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,,2250.0,1500-3000,2250.0,Once a month,Friends group,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,Option B-Escape Room,Once a month,Family pack,1000-1499,1250.0,First session free,Co-working Space,Weekday Evening,90 min deep-dive,0,1,0,0,0,0,Tamil,1,0,1,0,0,0,0,1,1,,,6K-12K,9000,9,Likely to visit,1
R0017,P2_GenZ_Student,0,0,0,0,0,18-24,Male,Metro-Mumbai,Diploma/Vocational,Student-College,1L-2L,150000.0,11,2,2,3,2,2,Daily user-love it,Slightly curious,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,Nothing,0.0,1500-3000,2250.0,Once a month,Friends group,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,Option A-Art Pod Session,More than once/week,Pay-per-session,300-599,450.0,Festival/seasonal discount,Co-working Space,Weekend Morning,30 min express,0,0,0,0,0,0,English,1,0,0,0,0,0,0,0,0,,,3K-6K,4500,7,Unlikely to visit,0
R0018,P3_Millennial_Parent,0,0,0,0,0,35-44,Male,Metro-Hyd/Pune/Chennai,Graduate,Salaried Professional,1L-2L,150000.0,14,2,2,3,4,3,Occasional-prefer human,Occasional hobbyist,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1500-3000,2250.0,1500-3000,2250.0,Once a week,Partner/Spouse,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,Option B-Escape Room,Once a week,Monthly membership,Up to 299,150.0,First session free,Gym/Wellness Centre,Weekend Morning,90 min deep-dive,1,1,1,0,0,0,English,0,0,0,0,0,0,0,0,1,,,Below 1K,500,8,Undecided,0
R0019,P3_Millennial_Parent,0,0,0,0,0,35-44,Female,Tier 3 City/Town,Graduate,Salaried Professional,,37500.0,12,2,3,2,3,2,Daily user-love it,Slightly curious,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,Below 500,250.0,3000-6000,4500.0,2-3 times/month,Friends group,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,Option A-Art Pod Session,Once a month,Pay-per-session,1000-1499,1250.0,Corporate tie-up,Shopping Mall,Weekend Morning,60 min standard,1,0,1,1,0,0,English,0,0,1,0,0,1,0,0,0,Above 6000,7500.0,6K-12K,9000,7,Definitely will visit,1
R0020,P2_GenZ_Student,0,0,0,0,0,18-24,Male,Metro-Delhi NCR,Graduate,Student-College,25K-50K,37500.0,17,4,3,3,4,3,Curious-not tried,Regular hobbyist,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,Nothing,0.0,1500-3000,2250.0,2-3 times/month,Partner/Spouse,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,Option A-Art Pod Session,Once a week,Monthly membership,Up to 299,,Bring-a-friend 2-for-1,Near School/College,Late Night,30 min express,0,0,0,0,0,0,Tamil,0,0,0,0,0,1,0,0,0,,,3K-6K,4500,4,Unlikely to visit,0
R0021,P4_Corporate_Professional,0,0,0,0,0,25-34,Female,Metro-Bengaluru,Postgraduate,Salaried Professional,1L-2L,150000.0,15,3,4,2,4,2,Curious-not tried,Occasional hobbyist,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,Nothing,0.0,1500-3000,2250.0,Once a month,Children/Family,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,Option A-Art Pod Session,2-3 times/month,Monthly membership,Above 1500,2000.0,Festival/seasonal discount,Co-working Space,Weekday Morning,60 min standard,0,0,1,1,0,0,English,0,0,0,1,0,0,0,0,0,,,6K-12K,9000,4,Undecided,0
R0022,P1_Urban_Millennial_Creative,0,0,0,0,0,35-44,Female,Metro-Mumbai,Graduate,Salaried Professional,50K-1L,75000.0,23,5,4,5,4,5,Daily user-love it,Semi-professional,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,Below 500,250.0,Above 6000,7500.0,More than once/week,Children/Family,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,Option C-Movie,2-3 times/month,Monthly membership,600-999,800.0,Student discount,Co-working Space,Weekday Evening,60 min standard,1,0,1,0,1,0,Hindi,0,0,0,0,0,1,0,0,0,,,6K-12K,9000,6,Likely to visit,1
R0023,P2_GenZ_Student,0,0,0,0,0,Under 18,Male,Metro-Delhi NCR,Up to Class 12,Student-College,25K-50K,37500.0,14,3,3,2,3,3,Occasional-prefer human,Occasional hobbyist,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,Nothing,0.0,500-1500,1000.0,Once a month,Children/Family,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,Option B-Escape Room,2-3 times/month,Pay-per-session,Would not buy,0.0,First session free,Shopping Mall,Weekday Evening,90 min deep-dive,1,0,0,0,0,0,English,1,0,0,0,0,1,0,0,0,,,6K-12K,9000,8,Undecided,0
R0024,P2_GenZ_Student,0,0,0,0,0,18-24,Female,Metro-Delhi NCR,Up to Class 12,Student-College,25K-50K,37500.0,21,4,4,4,4,5,Occasional-prefer human,Semi-professional,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,Below 500,250.0,1500-3000,2250.0,2-3 times/month,Partner/Spouse,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,Option C-Movie,2-3 times/month,Pay-per-session,300-599,450.0,Bring-a-friend 2-for-1,Near School/College,Weekday Lunch,90 min deep-dive,0,0,0,0,0,0,Hindi,1,0,1,0,1,0,0,1,0,,,6K-12K,9000,6,Undecided,0
R0025,P3_Millennial_Parent,0,0,0,0,0,25-34,Female,Metro-Hyd/Pune/Chennai,,Business/Freelancer,Above 2L,,12,2,2,2,4,2,Daily user-love it,Slightly curious,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,500-1500,1000.0,1500-3000,2250.0,2-3 times/month,Colleagues/Work team,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,Option C-Movie,2-3 times/month,Family pack,300-599,450.0,Student discount,Near School/College,Weekday Evening,30 min express,1,0,1,0,0,1,Hindi,1,0,0,0,1,0,0,0,0,Nothing currently,0.0,6K-12K,9000,10,Unlikely to visit,0
R0026,P5_Wellness_Seeker,0,0,0,0,0,35-44,Non-binary/Other,Metro-Mumbai,Graduate,Salaried Professional,25K-50K,37500.0,22,5,5,4,5,3,Occasional-prefer human,Semi-professional,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,3000-5000,4000.0,3000-6000,4500.0,2-3 times/month,Partner/Spouse,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,Option C-Movie,Once a month,Monthly membership,600-999,800.0,Bring-a-friend 2-for-1,Near School/College,Late Night,60 min standard,0,1,1,0,0,0,Bengali,0,0,0,0,0,0,0,0,0,Below 1000,500.0,6K-12K,9000,7,Undecided,0
R0027,P1_Urban_Millennial_Creative,0,0,0,0,1,18-24,Female,Metro-Mumbai,Graduate,Business/Freelancer,1L-2L,150000.0,24,4,5,5,5,5,Occasional-prefer human,Semi-professional,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,500-1500,1000.0,3000-6000,4500.0,Once a week,Partner/Spouse,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,Option C-Movie,Once/twice a year,Pay-per-session,1000-1499,1250.0,Festival/seasonal discount,Standalone Studio,Weekend Morning,60 min standard,0,0,0,0,0,1,English,0,0,0,0,0,0,0,0,0,,,6K-12K,9000,6,Definitely will not visit,0
R0028,P3_Millennial_Parent,0,0,0,0,0,35-44,Female,Metro-Delhi NCR,Postgraduate,Homemaker,1L-2L,150000.0,15,3,3,3,3,3,Daily user-love it,Occasional hobbyist,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,Below 500,250.0,500-1500,1000.0,2-3 times/month,Alone,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,Option C-Movie,2-3 times/month,Monthly membership,1000-1499,1250.0,First session free,Shopping Mall,Weekend Afternoon,60 min standard,0,1,1,0,0,0,Tamil,0,0,0,0,0,0,0,0,0,Below 1000,500.0,12K-24K,18000,10,Undecided,0
R0029,P3_Millennial_Parent,0,0,0,0,0,25-34,Male,Tier 2 City,Diploma/Vocational,Parent-booking for child,1L-2L,150000.0,12,3,3,2,2,2,Daily user-love it,Slightly curious,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,500-1500,1000.0,3000-6000,4500.0,Once a month,Children/Family,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,Option C-Movie,Once a month,Pay-per-session,Above 1500,2000.0,Bring-a-friend 2-for-1,Shopping Mall,Weekday Evening,30 min express,1,0,1,0,0,0,Bengali,0,1,0,0,0,0,0,0,1,1000-3000,2000.0,Above 24K,35000,6,Definitely will visit,1
R0030,P1_Urban_Millennial_Creative,0,0,0,0,0,25-34,Male,Metro-Hyd/Pune/Chennai,Graduate,Business/Freelancer,Below 25K,15000.0,21,4,4,5,4,4,Daily user-love it,Semi-professional,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1500-3000,2250.0,3000-6000,4500.0,Once a month,Colleagues/Work team,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,Option A-Art Pod Session,More than once/week,Corporate/group,600-999,800.0,First session free,Shopping Mall,Weekday Evening,90 min deep-dive,1,0,1,0,0,0,English,0,0,0,0,0,0,0,0,1,,,6K-12K,9000,6,Likely to visit,1
R0031,P4_Corporate_Professional,0,0,0,0,0,25-34,Male,Metro-Bengaluru,Postgraduate,Salaried Professional,50K-1L,75000.0,14,2,3,2,4,3,Occasional-prefer human,Occasional hobbyist,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,,0.0,1500-3000,2250.0,Once a month,Colleagues/Work team,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,Option A-Art Pod Session,More than once/week,Annual pass,600-999,800.0,Festival/seasonal discount,Corporate Campus,Weekday Evening,60 min standard,0,1,0,0,0,0,Telugu,0,0,0,0,0,1,0,0,0,,,6K-12K,9000,4,Unlikely to visit,0
R0032,P1_Urban_Millennial_Creative,0,0,0,0,0,25-34,Male,Metro-Delhi NCR,Postgraduate,Salaried Professional,50K-1L,75000.0,23,4,5,5,4,5,Daily user-love it,Semi-professional,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,500-1500,1000.0,3000-6000,4500.0,Once a month,Children/Family,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,Option A-Art Pod Session,Once a week,Pay-per-session,300-599,450.0,Festival/seasonal discount,Standalone Studio,Weekday Evening,30 min express,1,0,0,0,0,0,English,0,0,0,0,0,0,0,0,1,,,3K-6K,4500,8,Definitely will visit,1
R0033,P1_Urban_Millennial_Creative,0,0,0,0,0,25-34,Female,Metro-Bengaluru,Graduate,Salaried Professional,50K-1L,75000.0,15,3,2,3,4,3,Occasional-prefer human,Occasional hobbyist,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,Nothing,0.0,500-1500,1000.0,Once a week,Alone,1,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,Option B-Escape Room,2-3 times/month,Pay-per-session,600-999,800.0,Free kit with first booking,Standalone Studio,Weekday Evening,30 min express,1,0,0,0,1,0,Marathi,0,0,0,0,0,0,0,0,0,,,6K-12K,9000,9,Likely to visit,1
